rank	node_id	tx_hash	output_id	harmonic
89	80103652	c2e20cd88dd1381a794f588669109bcd55c7688b8d2c149ed9e7e43f03010d6b	0	0.040794812317362004
90	80283350	70cee159e386a4722f65763353be01908eb12016def3274528526d824e295a58	0	0.040794812317362004
91	80761806	6007213c5cc31d500bc6ac4a7d0343e857bd2434a5fed469f195974cf092f436	0	0.040794812317362004
92	80938856	95a2ceedf4c29f20c3841dd517618628e68b003529d7a3035abb07ced6916054	2	0.040794812317362004
93	80960365	69f1f2fd12add1f53d3ac2aadd04c51921646dcad5f4b610188bea19e681a553	1054	0.040794812317362004
94	80997111	8e6643664f137024f6e1fd3becdc7a9f6e5d93b384e31543cb313f20dbc96372	1	0.040794812317362004
95	80998805	76e190830e2e10209fbaa2f6137d45fff4f1abcca06741c747223d38365c5300	1	0.040794812317362004
96	80207117	c4214d1ade04623ef6403b80c44d324dd3a17bd32c18f6fd01e6ebd5a95f6bce	0	0.040789232790241985
97	80685078	1dcbd2d79678bdc6ec7fef6bd1a99c0e796251d4e57bb1ffbd66f71ba3b50495	2	0.040789232790241985
98	81120131	cfc440d1162a81ea63a79b383e71b9a098d61ba341b3c19be2ef6e332515dc59	250	0.040789232790241985
99	81123833	4db8b181698f5acc09c1e986df831cef568d14ef2548511defd1bd682df83756	900	0.040789232790241985
100	81139592	5a5c37d01a6294ef0656b10ff44fbf24762dc3f4d61c2c460b37629648fb8b9b	0	0.040789232790241985
101	70630818	26207f49ad12a69b895771edf4cc7be161791fa295e7ed944cee7daf253b3451	1489	0.040788507955634636
102	71406553	fc1baf312e8e72b0d2295cee8c50edbc18c0d21d595f7008a7d4bfae68517ad8	0	0.040788507955634636
103	71455308	9f98a0007a99c873256f6d46393d1771d5cb56f35bc16e3d1974e338ca1b89a1	833	0.040788507955634636
104	71529315	1674f7f58b82da8059c6ecec2a2e03770c96b1b50848e32e912bd39f127f2c24	1	0.040788507955634636
105	71554155	8c600332cb28cdb8c15c2810942619b05f2171edbb0c9a3a42bbdc8b3412b540	1	0.040788507955634636
106	71560367	e5911db472f4546e0372d3cc62e16e0f720ce0bc09448b59e7c81c7cf21df5d9	0	0.040788507955634636
107	71568393	d08453d0b64670a9bb278072555639c843b9db9a3988fe6bcfb1155276f4ada1	0	0.040788507955634636
108	71584038	957106eb405c84ea6d642a44c0ebe4999895028adb8b4e27f6cf358374bac8cd	0	0.040788507955634636
109	71584389	b45ffc7653a0e788d8b0ec20ec9cb00e0d99d6ef34f94d245937dc2070df29c5	1	0.040788507955634636
110	77115112	d4f6f831e95d521dbf1ee331936cae90074ff0e136f8bd0eb3e17c21c786ec8a	0	0.04078665391473285
111	77149527	ece2a484b91a327da8947018129ebc4900970f823de112e9790a860dc04e2dc7	361	0.04078665391473285
112	80982160	399e1564472b4528899ec6cc801090a58c17dc6f58cec5346b43befc0281698e	0	0.04077344282676721
113	81040984	72e54dc0afc873b866df77864886c6b05028f6ef88074a920391fc2e9ea252b5	0	0.04077344282676721
114	81122066	39c074ac239ad8603d0fe447ed7f77425ba8a72bc0e149c80db075c8927485a7	334	0.04077344282676721
115	82453010	60f06315cb21d8df274f3e31afb847913cff07806d39d3ccd051927d4da35c6b	1	0.04077216078625831
116	79773752	08d001ae530f24ecfe637a5d50c27e207098b919be9af1b139a90944eb1d9beb	2	0.04077156164459802
