rank	node_id	node_type	entity	label	harmonic
48	408214655	TX	964e2ba31853bb131d3a050841f34999259a22547f3bc08ecbdf4db17586d11c	null	0.09206350738264564
49	399381695	TX	72c330fd924eaf6a2650c7f02304fc72a8e2b4b1d64942b815578c19f294568e	null	0.09205930922416691
50	399603069	TX	4c1cdb3b7f9d2ffc39613f1c974878ae03d66364e1308c0039fb092ac79b9188	null	0.09205930922416691
51	399827469	TX	8901cfced192d73309768c2a4df2b578020617359f31d022af01d359843038cf	null	0.0920592626311996
52	400055206	TX	dc63b3b808765caf0f7255115a858f05fe73f0aa15e721658e01abd14afeec6d	null	0.09205855030057848
53	400279673	TX	c64d6a697395688772c5a4f1b4b68307e4ae431351bcfab64415f9901b8f0c55	null	0.09205855030057848
54	400508036	TX	3db26a20f286b1d3148be8fa0ef6756275b591e764abf1659d3ef18aa4a05386	null	0.09205855030057848
55	426813746	TX	67c7892d04252c7d9af05e5a80fb7f033e9b51cb25f45832c2b1d6fef71a8392	null	0.09205226784768268
56	375609681	TX	5eeed0f7d871b5ecea6b1fd27852531fd77509db095bf613d939e26125057284	null	0.09204805151649896
57	396705342	TX	224938f2a99b329bfc1400fa2a54535a7764761187726024c13bef5283d52b4d	null	0.09202897399818576
58	427117089	TX	e1d89614506cde7d14a36bb0c400d6ff7871f207c20547ef3640a782bcc8921f	null	0.09202810291435184
59	388704006	TX	7e77de5f764d4c9e0f1045c4b35104f404acd1b80f5b50e9eee83535fb7cb595	null	0.09201900959945887
60	405642247	TX	eaaca86e10d6fda8e059f34c1b12ec3e24e2aae014400e59f334ec0982a51dc9	null	0.09201615633745211
61	391297457	TX	0c19f0d274ef87f2f69b6c975681ced1adf39adcd5f1cce06f07edafbe174331	null	0.09201531756440917
62	396818807	TX	f5fe648dfc577c6cd46c31d631a3555441ff8a776b0a4b0bd8194f7c4756a5d0	null	0.09201505117240903
63	391502065	TX	3c82c1d57fddf57924a312847d1a46757d446cdbad761d46f507c904617a235e	null	0.09200751243082869
64	396569804	TX	3e1c54e8de14f3e76772a155382c013fb94b27a6b9f2933028a1fd918b3b0988	null	0.09199929747349032
65	390359094	TX	dc4c3da3b21d8ddf688b8402167f6c005681fe104e15983a08d35ec1f7956f97	null	0.09199296167540959
66	375720176	TX	02737aa2187d0b1983fb8d8394190563c66fce93b1591fe466ef4d873c455971	null	0.09199158580518275
67	389226778	TX	94421a2725072465b8f748503af44d9677278afa0fc1bedbd802200449abb36a	null	0.09198548293774476
68	390551694	TX	648d37bf89a052efeab8647d3e782ce48efe42f10afc6f5eb0f1566993bd014c	null	0.09198283192716819
69	390795845	TX	b764c4428bf4517dec0500ffddacf771b039bfbb8d50d8d9fd49435945603192	null	0.09198283192716819
70	396049003	TX	6b75142c91bd73da83cd95a69d67785b407ee410757efba101491c9b82314971	null	0.09197728200523089
71	396156182	TX	9185ae35989c1cc8ba19f01efbcc6595ba499577145c90a9ba9fca48cca93174	null	0.09197728200523089
72	396156183	TX	45347234f28135e224743f49259bc166adb1be856e4e7b90d7d4e4f24985e7cc	null	0.09197728200523089
73	387256796	TX	f0a6c8a3ccea845caad515bd17e2f7454c37b7ef49cc1e2cd3e0604c619569f6	null	0.09197425000955801
74	387922491	TX	4ef14426151837775c48ad134fe3676884570ecb1db6e7820a3f03344ded76c7	null	0.09197425000955801
75	388090898	TX	35165186621e9d371c7f9e649075c8974529f9bd9f5d8c8cb49fcd12a15f59e0	null	0.09197425000955801
76	388561078	TX	d7324ed367624dc8a50ae0359534273570619addb5dfde50e971575f5a78c676	null	0.09197388472662896
77	389753446	TX	aeb2cc26fb0745899db5f4eb3c6992d9f785ecff94077772dac28372aa64fb26	null	0.09197156011196804
78	391154874	TX	0e247158e1b137ac6dfc2326c4f57f5bda12352c8bec06cac69f3870012acea8	null	0.09197156011196804
79	375486711	TX	df01f46e0cf62836056f76b3196cf8b594dcd15d8998d4d13268b017544c1831	null	0.09197008369214935
80	389935914	TX	59501d77293e99150f25c36b34fc38462e8e9eed7d521c5eff647040b76fbb0c	null	0.09196622717245177
81	388870459	TX	6b759820f606d6da9f66aeb63a9e1a810e928d146b6ffb153dcc1224db71d696	null	0.09196335558963534
82	379223398	TX	c0f0416068825209054507b2e84a74d65484411df0439df0659b4973a4e4d19e	null	0.09196314813666402
83	387073674	TX	20c5e6fc1691ba389db68e35694b7da5d502c41f95dd1601e197a3d74582821d	null	0.0919630779157671
84	389057767	TX	17fbc7af596720048437b701867c514d207b160e69579a6d211e54e2ee37457a	null	0.09196143036372664
85	390138196	TX	ec762491799bd5c7704f6179e12245e996079300d3c2285844f9b4f25a23fc0f	null	0.09195891290772883
86	379461175	TX	73c9d11ec75fdd27ae10302d63ee7ca262b5ebf9cd7b23cf7e90a86362cd04f1	null	0.0919497183648746
87	389486299	TX	51396b9677d803367390caea98139f7caa6f565c5e2f3f75ccf5f30a7d709727	null	0.09194284428380356
88	389589455	TX	c8ac6888300525b69ba5938d04ba1d80e73615c0ca02cf44e0b247155eb03dd6	null	0.09194284428380356
89	379337221	TX	d3f1d8410a21a41f173f8126e5b56b6880aa1bfe6a95764968c76372eb188abb	null	0.09193976524801581
90	398333380	TX	e85937a420978d28daad7e02043c2de53e348d3d44e0e0cae201636f5a3567e2	null	0.09193608360990062
91	395897850	TX	4b9707ac6f4a838ab2b59132e366c1e89d09bf436ff6107fb10ff43d43f3ecec	null	0.09192756543829882
92	381571252	TX	9301bee08d2898e369dd73674295c4950810f03a35ecea66942d7e6b6a530132	null	0.09192606545748844
93	381721432	TX	07b529e0c91c24ce84fc4bccba52808c5f1ce14bc2fc5bb72533a3c1093d4b4b	null	0.09192606545748844
94	398560574	TX	538fd411d599495fd150ade1474d6f5d6b5c9b260fe43c84bcc970cb534528ae	null	0.0919254177308681
95	386966915	TX	f3416f8238bec5ce0d01728208323cb9b03822d0425e8c6663736cd8578d22bb	null	0.0919236962085701
96	339772490	ADDRESS	17KaUVuF5TQ9yZ11dVVYrPbgxLcPLXevRF	null	0.0919214088217474
97	339772490	TX	4caf800d95d0f4575dd8f021dd7c412b7ed6f883800915fa064d04f0c82ed746	null	0.0919214088217474
98	356933194	ADDRESS	1PoDaH3PvpPkpxQyxfp3ZqFhqqAjBymVQC	null	0.09191724010929522
99	356933194	TX	0715daa903e6fc7abe6008ed2b1dcb578b23a6693e42797763ba437f4af2cf43	null	0.09191724010929522
100	375137979	TX	e1a25031a4d19987906304f27b6a1eba7cc9bb4518a7c5be514ace7e4c903304	null	0.09191681216683799
101	395658544	TX	80ffbe29f2f7af56ce194f1d04cd2bf30724949602825407146dc8916b0435f9	null	0.09191364261252209
102	379607802	TX	1b37775b48642a4004d1dc762024e60a24459670ec37afce417f96d7971620b3	null	0.09190772612784445
103	379745938	TX	84c100c174f6a9329e1563042b82faab7fa6b135fac608daa98d5453654b3c33	null	0.09190772612784445
104	375284191	TX	98a4a1bfa63df39387eafd2957b86bb878987b75ef1909a7e2bd8f96f0f1aff2	null	0.09190028837360847
105	387662784	TX	ad1e5e276fe5d5daac567dbf90178db7f5ed731811bafb9b64a8a7c0a434b91e	null	0.0918965135948126
