rank	node_id	tx_hash	in_degree
42	75050935	e229a83deafec5f49e4990dba914fd815d05809f5eefbd979d55fb64f93827a3	2363
43	75073268	c4f4357657ba403455167b2897acfcb922c2a0973c34e58733ca352394e6c629	2355
44	75026792	9cc0a350d50fa252264636e62d586c7121d0a5656bc7e6b27354325684bec007	2219
45	74979906	dd49dc50b54b4bc1232e4b68cfdd3d349e49d3d7fe817d1041fff6dd583a6eaf	2205
46	74997599	8bcf8e8d8265922956bda9b651d2a0e993072c9dca306f3a132dcdb95c7cee6e	2204
47	75011157	ba31c8833b7417fec9a84536f32fcb52d432acb66d99b9be6f3899686a269b2b	2203
48	74997346	3d724f03e8bcc9e2e3ea79ebe4c6cffca86d85e510742cd6d3ac29d420787a34	2200
49	74984276	1bdaeda5f2fcbf8831cbe2c0125777f2da4f6bd8e08d957615cb2cec46c95247	2167
50	88296253	5e2a6479765d3642c9c0edf93af4671d3a2a16cf6733fa532d2bcde08697e7a6	2165
51	88358727	b5ca68205e6d55e87bd6163b28467da737227c6cbcc91cb9f6dc7b400163a12b	2151
52	75104224	1b604a075075197c82d33555ea48ae27e3d2724bc4c3f31650eff79692971fb7	2146
53	87192376	2e7c454cfc348aa220f53b5ba21a55efa3d36353265f085e34053c4efa575fda	2114
54	87430240	22e861ee83c3d23a4823a3786460119425d8183783068f7ec519646592fac8c2	2086
55	88283850	bf40393fedc45a1b347957124ef9bb8ae6a44feecee10ef2cc78064fabf8125f	2081
56	75169987	fa9120afe1bb09b7154ba82a022cbdcc29fc5be2699b346ebb7ffdc46807b2f7	2064
57	91028102	7c91a408b779648451f79094332a6d4eff071a309d5b431fe1a03a263e8d530b	2054
58	87797066	6e278c0ca05bf8e0317f991dae8a9efa141b5a310a4c18838b4e082e356ef649	2007
59	87705650	9db4e0838c55ef20c5eff271fc3bf09a404fff68f9cdad7df8eae732500b983d	2000
60	87438688	fa5a58f787f569f5b8fab9dadb2447161fac45b36fb6c2c0f548ed0209b60663	1969
61	90653044	b88dd56efd6e752d55e77fcf0777be406e260ab8aae2785de31a4df5a0f3a21d	1958
