rank	node_id	tx_hash	output_id	clustering
29	586	1befa58924955882ef900899b6135793e4512d593e22981c9c71273b5206f8e5	0	0.000000000000000
30	590	8d7d3c30306d39d60a158310a6abb202833e1458f275bd9669465c891d7cfd56	0	0.000000000000000
31	598	7932cefd406d0ea2b4f5168527cd412a7fa3d5650a4c6e7316731a8fbca7a790	0	0.000000000000000
32	610	4d6edbeb62735d45ff1565385a8b0045f066055c9425e21540ea7a8060f08bf2	0	0.000000000000000
33	619	e36f06a8dfe44c3d64be2d3fe56c77f91f6a39da4a5ffc086ecb5db9664e8583	0	0.000000000000000
34	620	e36f06a8dfe44c3d64be2d3fe56c77f91f6a39da4a5ffc086ecb5db9664e8583	1	0.000000000000000
35	625	03b397250f0709f7a1d38f5d3c65f179ef50f72c15072ba1fb92ec634c95f81c	0	0.000000000000000
36	641	511c645d736c3e5fc25b8fc1a507da81285be6d3f09941d712ff0e870b0a78e0	0	0.000000000000000
37	685	47040a453f9eeda76f870d5f3d6bb6e61ccb2cd24ec9a892b7ac1dadfabd8364	0	0.000000000000000
38	714	c2da9f0a71a77aa727c2c0dd1e0798f697302dbc38814938d5338233f8480890	0	0.000000000000000
39	726	e47741cc9eb5f7c91c86e253f2b05ba7576fb1347f874314bf6db3cc0280e5ed	0	0.000000000000000
40	729	65b9a796af92c30f995011ff07cb8de737f1322e943bdce336a4e70317d5da19	0	0.000000000000000
41	735	5439c37c4c6dad4ad93b1d5598d57f1aace9d0f68b892236da903b3f136451a1	0	0.000000000000000
42	748	2a5726687859bb1ec8a8cfeac78db8fa16b5b1c31e85be9c9812dfed68df43ea	0	0.000000000000000
43	754	570f2d99e5590ca7dc6812930dfdbda651d0d8f95a9d230e8c51bc60acb29b0c	0	0.000000000000000
44	756	5fe6030e8a649b3b3fb257303e89a06d6556226e24118b494f9ccbba06e96254	0	0.000000000000000
45	757	6f7cf9580f1c2dfb3c4d5d043cdbb128c640e3f20161245aa7372e9666168516	0	0.000000000000000
46	806	6a78211e4a48023211a5b736b6096347f3a1f5d751659f91228d34b2ebd5664f	0	0.000000000000000
47	811	af43fe221eef93a4b4e7dc86f2face1de956ef8d041123804e409716bdcaa5ed	0	0.000000000000000
48	815	0b5fe307d48f43967ac786142db01e99314d275e78e995fc9f778c248e6194ac	0	0.000000000000000
49	842	5dfac83c6969b841506ba52480f150e4b978327de8fce5c551e5aafeefa0af18	0	0.000000000000000
50	934	4b4642c2f07835ca1299b7085c08d8702d66e659ff8dde9e6091661834860b19	0	0.000000000000000
51	942	ce824c3fead5f6f5f9e4d9f8e2e54c156814c565231c79070926bd8c51dea866	0	0.000000000000000
52	973	3e4cc1f71c998d080528ae305dffcc01419851e0d7b5191edfada9528625bff6	0	0.000000000000000
53	985	5d2d95607234eda24de4fd6958a36877d17858adbc9c086266477de623555248	0	0.000000000000000
54	986	a13ddfee9849bf8198ed48896a9e725fd8a2e65bfdc77bf9f3520f0c8e92a00b	0	0.000000000000000
55	994	f906fad3d8ee167fd89afe94e79ed6f0bd0bfbaba6d3593e82eb5344069915d6	0	0.000000000000000
56	1009	4862731ba92273eb20dda278569b894003fd4e18a90c584a08b8bdb687431aae	0	0.000000000000000
57	1024	57bfccbd63e77f496e6f4b4e04d4e30c9675582752ba127a446c8ee6fd478f7a	0	0.000000000000000
58	1026	85bef6cfcfb730466d0a1d891d2adcc9942e9794ba6176bc7b57d44cf4aa2650	0	0.000000000000000
59	1040	28d6b34145a81333087549e824fa352e2411b13ab0b8bc9ec246e2fbb644bd62	0	0.000000000000000
60	1044	cb6e55b274a3fd0e1495740f1f185e207ae5602b1899b806bba9856ef9bce37d	0	0.000000000000000
61	1057	6938e165143a92cd1cbca55afe56d9985cb410aad32e484e94dde878efaf3e81	0	0.000000000000000
62	1086	8897ea9ceaf18a546cdc513b9179bae31a462ee5bf47818eb7ba909082d11777	0	0.000000000000000
63	1088	90ff15e5a80593977fb2f6666de2860584d39ebc3a41f65a0a1fdc3a851aefda	0	0.000000000000000
