rank	node_id	label	in_degree
539	90017935	null	17169
540	36074705	null	17095
541	4105036	null	17072
542	21961517	ChBtc.com	17046
543	78728732	null	17044
544	34863441	null	16908
545	11942856	CoinSpot.com.au	16840
546	20783005	Coinmate.io	16830
547	39209343	null	16724
548	46362418	null	16715
549	17454069	796.com	16632
550	22005128	null	16608
551	123117396	null	16506
552	110206377	null	16454
553	23923937	null	16292
554	13137235	null	16283
555	59649351	null	16144
556	32997732	null	16043
557	34863425	null	15987
558	56345452	null	15864
559	70202029	null	15835
560	35304192	null	15795
561	101386951	null	15697
562	100639587	null	15666
563	60774778	null	15599
564	17369516	null	15532
565	97834740	null	15449
566	49746886	null	15377
567	27375001	null	15360
568	10740204	null	15332
569	18940045	null	15233
570	71336292	null	15227
571	107262382	null	15179
572	126138551	null	15151
573	1130517	Bitmit.net	15144
574	66630716	null	15133
575	18817135	null	15102
576	81886595	null	15040
577	14024306	CoinMotion.com	15008
578	47275445	null	15000
579	40294151	null	14957
580	23582878	null	14950
581	15572960	null	14949
582	75035348	null	14912
583	72360583	null	14856
584	20016962	null	14848
585	17252077	ChangeTip.com	14800
586	16522180	null	14756
587	32845502	null	14733
588	41110096	null	14733
589	32845503	null	14731
590	32845504	null	14731
591	32845506	null	14731
592	32845507	null	14731
593	74662138	null	14699
594	15574236	PandoraOpenMarket	14687
595	7983034	BetcoinDice.tm	14637
596	106562812	null	14600
597	33648453	null	14432
598	512159	null	14291
599	1785648	DeepBit.net	14233
600	72134543	null	14224
601	29800263	null	14191
602	15245850	Betcoin.tm	14121
603	114329974	null	14074
604	11223567	null	14072
605	103529068	null	14029
606	11835477	null	14024
607	28325795	null	14004
608	20814622	null	14002
609	442949	null	13974
610	7161657	null	13927
611	2128180	null	13886
612	23121250	null	13865
613	69781292	null	13839
614	16125142	null	13836
615	75439333	null	13801
616	12205497	null	13796
617	6836587	CryptoStocks.com	13757
618	119815741	null	13707
619	30713888	GermanPlazaMarket	13669
620	14583600	null	13635
621	2345706	null	13620
622	93158539	null	13597
623	2182114	null	13585
624	78536685	null	13568
625	1647009	null	13509
626	79197261	null	13481
627	43265964	null	13480
628	45675156	null	13478
629	9472930	null	13452
630	54581740	null	13434
631	105018798	null	13434
632	9142323	null	13428
633	2932837	null	13305
634	13866662	null	13288
635	71305418	null	13270
636	77180793	null	13169
637	7509244	Coins-e.com	13162
638	26212250	BitAces.me	12984
639	108294092	null	12925
640	39494727	null	12899
641	4236644	null	12896
642	21409215	null	12833
643	32433209	null	12823
644	7399067	Bitbond.com	12818
645	50213218	null	12724
646	37447369	null	12673
647	25699264	null	12619
648	17599613	null	12616
649	3998351	null	12567
650	22191885	null	12550
651	39246926	null	12533
652	80661590	null	12510
653	26121477	Vaultoro.com	12498
654	117317413	null	12490
655	26190327	null	12470
656	60366770	null	12429
657	30450066	null	12369
658	17104064	null	12303
659	123991546	null	12287
660	82693905	null	12285
661	7533958	null	12198
662	55572342	null	12186
663	89063081	null	12138
664	16171279	null	12123
665	70352159	null	12087
666	18042362	null	12012
667	99076137	null	11975
668	75189723	null	11967
669	20630742	null	11930
670	24399228	null	11928
671	20691291	null	11906
672	22820723	null	11902
673	110587387	Cryptonator.com	11895
674	39726963	null	11893
675	124621742	null	11893
676	28175658	null	11874
677	34863453	null	11861
678	78371488	null	11839
679	84221325	null	11837
680	39744796	null	11829
681	31784929	null	11799
