rank	node_id	tx_hash	clustering
28	63435	4f77482e252936b50bff69447e02bb7cf0eccb08ed610f48df5b1dd6e923de0c	1.000000000000000
29	63906	f2a982762318e376ff4c01ce674a910fa48201b082a7059b30066fe497f0e100	1.000000000000000
30	65086	265d58dd6985c9224a46ca7ad2fb98e8974721aa597ad1914e8cb4c4b197b823	1.000000000000000
31	65708	d0023f6e01910da37ac6c0df4cffbf881f9ca611b62cfbf92e0788e6fff95767	1.000000000000000
32	65795	d1e8bb57be263cab3ea8d2751dd10eacfd01d41bc2adff1734943da36dca3235	1.000000000000000
33	66895	26b404bc5717ae45d80e96f78137cf04bc6a55b362b8b643f2ba4dcd715abacd	1.000000000000000
34	67142	cd26cac643ce6c2e2b26c9830e07bdd4c932edfd0f4be168dd3bc6711d94fc8b	1.000000000000000
35	67413	00dfb415f0fe573549b6302b1d26a698ea35c238ab38d934be5f98a276eb3abc	1.000000000000000
36	67589	1ca7e682e90839d7abd20e9936ea2ce77d00bea5d144d7548c75795428b5829c	1.000000000000000
37	67815	f0c819dccdc7fc6e6a1411699e5a8be39822a9855aca0277dbe8788a83dbbd6b	1.000000000000000
38	68000	2166649fe7328f0dcd0ca5c06de8cb71194eb1a244cdb69989f48c126b79afd1	1.000000000000000
39	69197	2896673b871b7ad0ebe8ffbd1e7e0bd351ede34eb42abf08fce2baf871b6ef5f	1.000000000000000
40	69210	35b5be57b763b79106a4e7046f1ea4e5f8f70c2b680885e743a87288bd620fd8	1.000000000000000
41	70139	8579cbe6f84e9a5e3db28da67289d418d34638d7de7860034101aa3588556bd6	1.000000000000000
42	71049	f2a796850fffb44535eb6b1dae86e3a85fe305ba290dfbf9c60aae8c228c8838	1.000000000000000
43	71286	5d729066b11a3b1a80b362bdf77c5d279d5f5d2ce37e30bd7c0821247b75eaad	1.000000000000000
44	71910	a47f927ca1adeeb4394200e8a37a9297b07e784a251569074a9fc2c04855560f	1.000000000000000
45	73580	1e1d82d43da98e65d9b43f38b701294008b4fdb5fe030a87b8a2624583c7615f	1.000000000000000
46	74317	cdeedf248e5437f27d2f3065ff37ca89f7ef154033b1a9a6eed1ed1024a4e9ad	1.000000000000000
47	74480	e998e9b4f3123a9441f647e3733c2f9d5ef578f4ed4555fce89d1340aef03c68	1.000000000000000
48	74640	21006a4c65dd5695c9a7d889b3577efea21686ca8a18666f9831a356fa729733	1.000000000000000
49	75052	3c723db9a27317a857cb4f84f55b2ffbe684b5b8e8023d50f38614abe580e184	1.000000000000000
50	75515	fb0b817e7b6147e3e744bb1a98a6055c53e29756176e59e6e91e0844474a9838	1.000000000000000
51	75615	1f8f30146aeb8aa9675a67a341a223f0ae3b75204848013d850174033c925529	1.000000000000000
52	75631	732912f32395a42a32d1279886539707d9ecd136c85a52921971f6b9e46a549b	1.000000000000000
53	75717	06c1b54e93d7bebae1c0cbba12c9d2344711c1c2bc136fc4f9a275315df646b7	1.000000000000000
54	75733	cebc31093898ee5d895f7d8bbd8c45f9efa27fcd04a1d5ef775c12f10458619e	1.000000000000000
55	75789	0007a2de156f470cd3bd6609fad126ca778f1c13b4b6ac0bbcb21ae0ff85f5f6	1.000000000000000
56	76202	c7e54572dc0a0e7eccab1c73e8f3ffeaaea3e7c16f037c6f10c1e125f937670f	1.000000000000000
57	76449	a9e2d7bd394926127054f2d1437221cf33f0b65c302d6667f0cfd9548801b5c0	1.000000000000000
58	76846	bfba27be86b8edd4c2cfbd1a8aa2dcde70ebbdaa8fe7c068d4d007ac9da73861	1.000000000000000
