rank	node_id	tx_hash	harmonic
37	14388562	c4f4edf6c40fb2ad8d85ca105eea567f12d1e3de720f8c1167c131fec05d372a	0.04206181869219244
38	29607301	edfb71d0b5ab200cf1ae45a908926f555fcae9ce361d13af979c0beccb658b38	0.04205994509329775
39	32051311	f36b6283daa5a2fe0c7bbd1dab56d05bef08d8dabb635391b5b441685875d5e7	0.04205462218994451
40	32276534	e41217e573ac74a44fdae32b3b76b708d9b2a8c30748cdaa99c0de9743914a31	0.04205338879567802
41	15949667	ed251fd7325fdbe4babe34543b13ca04364b66033be3928325bd2d4c31b8d3d7	0.04204837928290459
42	15970124	6242374e7a4d97645c6c2e9dd9a4970e3c35f088504d7758c5933e210a508598	0.04204783239761155
43	31860497	2c2705c5d610a55f98313d068e2533d7360b14ae036254d4cd5f0e8e4d460f41	0.042045091990404605
44	33190928	d7cbb65d85342cb49234fa74f530896584fb52b4d00053aeff7021c4d4202852	0.042039692257862256
45	16164453	b8ac35955a22cf8a885ca5d624dea04af5f05725ef90274e4d1f18d4ff44bc50	0.04200645341898461
46	17281442	4dfb1e15897334e0c46372228069adf927696c26b395c4795f75255e3e345c79	0.04200474283906077
47	14501609	b8eaa284b96f58343d5bcfbd432998b25de516d01f9f4717164f60f82b2a24e0	0.04199921917454704
48	32998510	b0be73203c6593616d1734900b4aa93306500669dfa14f69ece73a66e123f639	0.041993878799535485
49	13986537	05983130e9a3abf2d65f04f72f3294928cb930492b1c095275cefe22c78718eb	0.04198967587900724
50	31355962	dc2f8a7c811100b6abd52ad9d7adf7a9a99823979d815703d8d7ad812a4363c1	0.04198779860258046
51	31493551	f9cdaaf7222aeb128e147e02373134036fdfea4c87b27fcccd3ee7d87ceaed7f	0.0419682687123183
52	2207385	8af10d2e14c488017714e62b9b36905f934b6b36217b54ad660658ed8dc5a905	0.04196715637934671
53	32672089	de1ae11482115b3b96b1b5a49be9d77d6cc5c8d74c55486a740bca78d3e27cd4	0.041938721280756486
54	16163295	3d027285ce1dae6dc348d74c2bd5c3fe1551551e85564584083b85427300fa65	0.041930025748946914
55	15567998	327470ddcf344fc9124fbc2158e4227c4c963d07353e66923eeea6c660c43ed9	0.04192723088125564
56	29287508	2ac32a460ff505967d9d284cf7c3c51f531827ff6e32f6cb987a6abc4a3895cf	0.041923535526148345
57	14618654	9f18773c33183be9980ab61c9f17659bcd34dbe6f21d7eeba9faafbdc5b5b3b2	0.041920392109748156
58	31191618	257aff7bb97662dd82909dbcfc026d883ecc60043b449bbaee08ce34425c41ff	0.04191990843580559
59	15973178	01b21b078064c3908a132d929b610e0db672ba1f65e8ba2ca7e2b6284e5a5ce0	0.04190146040605431
