rank	node_id	tx_hash	output_id	in_degree
124	262529270	b23c99c30339cb93eb04790bc5213f7732365488fe2549802bb472084b6ec508	1	2810
125	266778464	22df2138a28c9d339813854a38181ffc5ac6f37d171d5b5bd6b0b79bf8d3c641	0	2758
126	262122654	484c8f9d1adf16a576bce52721a5e4edd5239df346d94fd730f6d7b681ab3652	0	2728
127	262122655	484c8f9d1adf16a576bce52721a5e4edd5239df346d94fd730f6d7b681ab3652	1	2728
128	274066705	d27ca813c97eef5c6e9ed4bd2fe08a7e34aa8ac0c2af353826c73a4e2711a797	0	2704
129	274066706	d27ca813c97eef5c6e9ed4bd2fe08a7e34aa8ac0c2af353826c73a4e2711a797	1	2704
130	274066707	d27ca813c97eef5c6e9ed4bd2fe08a7e34aa8ac0c2af353826c73a4e2711a797	2	2704
131	271223412	c1e00054cc3fef88c2fdec2967e96fdb4c645bcf3f08b0580b51e47ecbfab71a	0	2688
132	271223413	c1e00054cc3fef88c2fdec2967e96fdb4c645bcf3f08b0580b51e47ecbfab71a	1	2688
133	263470799	767885bc144bdc0414217547f0169352a065083750371cabe5acbd0e0dd60436	0	2621
134	263470800	767885bc144bdc0414217547f0169352a065083750371cabe5acbd0e0dd60436	1	2621
135	263470801	767885bc144bdc0414217547f0169352a065083750371cabe5acbd0e0dd60436	2	2621
136	274109123	b28d67131d00bda9dac0da484dd1352c55ec6a869ea04a7e85b71d2ddf2356d9	0	2609
137	274109124	b28d67131d00bda9dac0da484dd1352c55ec6a869ea04a7e85b71d2ddf2356d9	1	2609
138	35407780	659135664894e50040830edb516a76f704fd2be409ecd8d1ea9916c002ab28a2	0	2585
139	35407781	659135664894e50040830edb516a76f704fd2be409ecd8d1ea9916c002ab28a2	1	2585
140	35407782	659135664894e50040830edb516a76f704fd2be409ecd8d1ea9916c002ab28a2	2	2585
141	35407783	659135664894e50040830edb516a76f704fd2be409ecd8d1ea9916c002ab28a2	3	2585
142	35407784	659135664894e50040830edb516a76f704fd2be409ecd8d1ea9916c002ab28a2	4	2585
143	35407785	659135664894e50040830edb516a76f704fd2be409ecd8d1ea9916c002ab28a2	5	2585
144	271776930	9a567fde7c65bf85bbc2b109277933431ebc8a35de321a4b6436601d68aa4521	0	2580
145	271776931	9a567fde7c65bf85bbc2b109277933431ebc8a35de321a4b6436601d68aa4521	1	2580
146	264272696	856a2117b6d81acbe6add60a114307d9572dff027079151d50ee77a7b0c70404	0	2575
147	264272697	856a2117b6d81acbe6add60a114307d9572dff027079151d50ee77a7b0c70404	1	2575
148	264272698	856a2117b6d81acbe6add60a114307d9572dff027079151d50ee77a7b0c70404	2	2575
149	264272699	856a2117b6d81acbe6add60a114307d9572dff027079151d50ee77a7b0c70404	3	2575
150	271866839	0683fb9cfcd4a211c14ef7cd2d03739160ff9ba1cb5396be227e475e932a8e9b	0	2541
151	271866840	0683fb9cfcd4a211c14ef7cd2d03739160ff9ba1cb5396be227e475e932a8e9b	1	2541
152	271794567	6a9263e48a076bfc37deb93d01bf354305f4ac929be6b0ca05c078381a562c0c	0	2537
153	271794568	6a9263e48a076bfc37deb93d01bf354305f4ac929be6b0ca05c078381a562c0c	1	2537
154	271794569	6a9263e48a076bfc37deb93d01bf354305f4ac929be6b0ca05c078381a562c0c	2	2537
155	272241133	2290263dddf8f06f099fcfb130a85f8f00b6cc1e05565a4c028d2187c8592d15	0	2508
156	272241134	2290263dddf8f06f099fcfb130a85f8f00b6cc1e05565a4c028d2187c8592d15	1	2508
