rank	node_id	tx_hash	output_id	pagerank
96	132672984	0e8d8c4d9206924051b26b8dfb4db34b5fffae89b8a2f2772b626c3e828cb8d3	1	0.00001886600675
97	222586547	8dd43769a494606f95ecef7fbeda07bee71c2661d603daf6d5ed620d8f0a2827	0	0.000018744076294
98	647356284	cbd0f8d450ad63185a9c9a0a975ec41c02afe5e26c8d7ecf1fd45a4dadba0e58	0	0.000018617136024
99	662533139	b6fdd48aacafb3ab28c4bd9717a30f901e76fea403b81866067ac1248a98bff5	0	0.000018354752519
100	635827891	b942b8567c13b8a7755a6596d86901ab193f35097dd63d15308d38932390ac77	0	0.000018035950068
101	635827892	b942b8567c13b8a7755a6596d86901ab193f35097dd63d15308d38932390ac77	1	0.000018035950068
102	644759085	74ec029816ccc98fed2fe5a539388786fd986a5a1560dbabfd99aae937547091	0	0.000017928550441
103	555043501	ce2bee56aa3d21891d2d732f5132abce40babe183482dc2b6d1b5ebbe8146428	0	0.000017927489068
104	555043502	ce2bee56aa3d21891d2d732f5132abce40babe183482dc2b6d1b5ebbe8146428	1	0.000017927489068
105	447663597	a7427f7329ff3fe15e81e35a901d14924d528400270423631857c7725956d1b2	0	0.000017734922975
106	447663598	a7427f7329ff3fe15e81e35a901d14924d528400270423631857c7725956d1b2	1	0.000017734922975
107	644214376	b19c7b028b6495154697816983851241a321e0c6834016ac429ce1cda8872d83	0	0.000017708915932
108	515830687	d3acc2e054d2b23e0605f4f474f37b5096514dee5fbe66181bfb478bf6e14cd7	0	0.000017684809545
109	515830688	d3acc2e054d2b23e0605f4f474f37b5096514dee5fbe66181bfb478bf6e14cd7	1	0.000017684809545
110	648014979	8a63d475b87a5d3cff82f6f2e8782d61139e2393154e1a6946ddae6d829ce8ba	0	0.000017666419661
111	586593829	df539af260cd5250070a7902dcbd0f3eae2ca7f82e7515e735a699719c7f94d7	0	0.000017238682431
112	664364688	2fe8b634d556bedd45497f5dfd7ed3281d6507e55f6d527dbaaa579e61d28947	0	0.000017011948632
113	248756296	1d404de1da9af47089c205b9af504ec98bbee78c410e55194df981709b602785	0	0.0000170038931
114	649080873	1dae64d17ebbea9954a9f17ee3da514b29f6f00038ffd3731447988fdf7e9c8b	0	0.000016332840921
115	640174981	cf84065be4e4cb3b125abb207b8c104f7ba01a5915d16abcb4900a18d4ca6706	0	0.000016294727574
116	640174982	cf84065be4e4cb3b125abb207b8c104f7ba01a5915d16abcb4900a18d4ca6706	1	0.000016294727574
117	647758815	5bb544ad0d6b78654c57467a44e9f1e6d7f8d7b44aab9c0f15b5acbc90335819	0	0.000016192745664
118	647758816	5bb544ad0d6b78654c57467a44e9f1e6d7f8d7b44aab9c0f15b5acbc90335819	1	0.000016192745664
119	588169240	5b28e9d1ec2b93471181a043c155cb480d0eb3d2540144b0547deff47ad86d98	0	0.000015983638084
120	463411140	7a29b08f209180ef548522e151350feb9fac08b284dc882a32475df9c2b102fb	0	0.000015878797416
121	463411141	7a29b08f209180ef548522e151350feb9fac08b284dc882a32475df9c2b102fb	1	0.000015878797416
122	531326425	7328dc3c93694b4a67cdb010300e79767b66d2f6c329e19a0ae6553d871002ab	0	0.000015749257162
123	543034784	01bf2469962ec052a3d70a312064e166d8f72cdcf025ee596b7c349b7afa645e	0	0.000015723291377
124	304457929	03d72c155e4b1a31711b1254634a8dce9da29db41c0f408870931adba27e7bd4	0	0.000015577091835
125	585060281	8137eb870061d315b7a6489a1ed0be17d70c7cd2e2116164df1577357333d447	0	0.00001556009137
126	647847271	3a60810875fe511e1c464bdd4805d1f0acee4a4f5b8cde81f67f8df665099cc8	0	0.000015497839754
127	641379941	a3a0d0ac4e04f11cb9f1cd6113baba807d3f3a72a3edb38ca272649b37f5d37b	0	0.00001543718688
128	641379942	a3a0d0ac4e04f11cb9f1cd6113baba807d3f3a72a3edb38ca272649b37f5d37b	1	0.00001543718688
129	552623996	79e43643efc47183b123774c8a2f3cf421f4475ee1b01771a35eca64222087d3	0	0.000015346768735
130	543621131	296745befed6958183b67a313f25fbd1b8501555eb940b2d7f5efc47bad79bf6	0	0.000015308592553
131	543621132	296745befed6958183b67a313f25fbd1b8501555eb940b2d7f5efc47bad79bf6	1	0.000015308592553
132	409515578	8185a0d788d97523a3dba85c7e558a55c4c2dddd5f7145ef852b938263341fa3	0	0.000015281608836
133	647925299	c2e84655dcb43f36972c08933b01f01d213add8a714b06900dcf2a9ec243b496	0	0.000015185966555
134	344010066	b8a4ed79fffbd75ece9b4cef784b1af352e39868df346e190103751f2eb48db0	0	0.000014916979791
135	624682758	a12a37d965f229f8276d1edecedfe00954b5e2c1b3a0557ff29e8855d07c1cc4	0	0.00001483714738
136	648536492	37f83a04779dc818ffe2ce91a6cedd3366d9d4e82bd0d570b0144169360cc2a6	0	0.000014792658357
137	260162864	683a127657794395cf43327087cb50b0f9b4ff737fbf892067b58a670cb77219	0	0.000014770147202
138	260162865	683a127657794395cf43327087cb50b0f9b4ff737fbf892067b58a670cb77219	1	0.000014770147202
139	395296000	2b262f46990c60b1ee702fe575c964b220a4d524f655b692cb2aa0fa81a48510	0	0.000014667524771
