rank	node_id	tx_hash	out_degree
70	49682111	84c7ee3840aa3c6b1c4539d8ff3213eda5217845cdeec08eea7a8206505bba4b	2381
71	50508365	6a8453988a44954b0e2fe76b4658a5e8ad4f2e5f0df9d67c15f44dab3dac1f9d	2381
72	50339717	a260e8d72a10e93753e82971d8b5af28362907ce17003677e1c69738f9bbd86b	2379
73	51375873	3e1d3dcbca2301cfcf2474d0f365493867c8f012bf6833152290e39f842f14a8	2379
74	30688275	5abb7c71d83744a1600b835aba19d13a67f33ae13322763e4eb3c818e70e94d4	2376
75	30907082	f4b4c9d6e3dc84397955feecafe0a512318cb3250067020c86941be393c4ceda	2376
76	48770278	9db604d6bec1e74c521ab059f9e34ceb32efd11c60f53d16686b005432b2da11	2376
77	49997137	3876499f08955e71eca43624b02e016df01cf9a716d05e22e162fde55fd8dfba	2375
78	30747531	b72cf1e3d9e1ba387da5dd655f3d624f788d1c068ba605ee3e1f15d4d0c7790b	2373
79	54864680	0dc6e2629fa9d020210225994ae4f2203613321cfee6e798b82b1080edec70c4	2373
80	48654413	dcfa59b23a35b0b5f2e6a4158892249babc40bf65d24b1c40d0eb43e50080f01	2372
81	30629733	23827fce2f70cf9daa518c122871cb77a20fa7d6f5b3aece1303c59297750d26	2371
82	31623774	6c38f5b20ceb75773d65c516373442434de317d98acb2a1950df592160593a78	2371
83	126384805	9c84fe972c27b8de3a1aab9ab3527508537ed2b6fea4b78473f7ad9a169f5223	2371
84	49003412	21c53620c14ba44be3584077ef4af38a11758ee871478dbce93bdec730bf63af	2370
85	100845111	e8764a9905d718a9528a35474abf775ea4e0d0f2f212fb605ddcaee9a670a715	2369
86	31734593	ea3a87109b1c7268d6f7b142713b813a339bfe2a26963ec76873b19648ff9f64	2367
87	48703282	3946762b0e400d540b58dd3c582b060e211f034f3ee402fd593b6d8b083f3d78	2367
88	48928962	8c00296d118ab622f091a314a795a1a25e4d5bb1ef8c482887fe01f232cfb18b	2367
89	50599337	2590dafa6512917cb61ce807dcfb1388fb52ebda5b78663dfc7e2bfcfdef3e97	2362
90	31921785	b430e4ded4d926a1e0a243e1475cbab1bfa747328d3750a9dfc555bcf6d7d612	2360
91	54764929	9bfbe2f29c1055393eee24047c9c10f265274a1b0c635aaec0ba1a5e20148599	2359
92	31797365	49bacb42c66d9aded892523585de151180c10308bcfcfa0099bd2e2218fe981e	2358
93	50864791	aeee305a47515d719cf76369876f8b1f5c4dee3589698acf29c59d412f30f66d	2358
94	31983895	9cc5132b8ee9f3214fe3e684d3090ea0cfbc02201c37850d27e752aebee2b5cb	2357
95	48848287	df922cffa84dc0570819f2bdee6df57612c101494510d89a0fa413a9abccfa5b	2353
96	50686975	a31882edf108014dcfdfa0c5399e20052d0033547a7ebcdefb63a3b460939c24	2352
97	51186094	982f87b0aeb4ee3916537cfa07dcb4a61acddf21ae913c6f242d4fbed5d0e3a1	2348
98	117105496	82aabb3eedfc0ca1eb928c5d396756e373fdfb2fafaf85c30d22bcb4321da117	2347
99	31677263	d3b14f3f8ee930421b6e11a15f22d2de8bded9102914ca97fddb672dadc13569	2346
100	54944292	3802ccf3dd970694dcd76ebf0ea10e6589413314a0e7d0a493c56f900a33b9f6	2346
