rank	node_id	address	label	pagerank
96	149973395	1Lzba7jLGLFRUNXJVpvRoBTdYDpBqJrEZX	CoinPayments.net	0.000115611517151
97	121355022	1XFR4GwFoQKosLjBgxw6mopeCMUD3296E	null	0.000114843365118
98	238252532	1ASSo159nbriTnyjPeTicJeW27D9pNSwas	null	0.000113853389189
99	36288627	19Wa69eDP1F6J2Segjsd8co7bVjdLFeL2n	Kraken.com	0.000113839110708
100	209770992	1GCMZuCzCYVL9bh65qxQmwjAiZagyYEEQf	null	0.000112000898757
101	128412465	1CGz4Fxap6mB5DoShNwhLyi8PNvBKP3ZZh	null	0.000111584653103
102	92716074	1SWP7PDLvifKDoidafFnmtXqXhmfTic7T	null	0.000111101606794
103	4261784	13p4zncq6m3Ax7tvKhEG2k49hgwfS5g7ic	null	0.000111024798141
104	81171539	1LCAJF94Yxin9eWNx19b5BZnrnBSVstV1g	null	0.000110732992327
105	165819173	366Dgw4pi3rnvu5zizVWZF6nijWxZWc6RA	null	0.000110565932711
106	165526872	1Ej4Jm8J83tKG4wUAbikNF3rQoGckH4Emp	null	0.000110060209286
107	167264250	3BzSWzgXnmVH4RznrKW1DzznbWpgPh3MtY	null	0.000108620934853
108	46627771	1rundZJCMJhUiWQNFS5uT3BvisBuLxkAp	null	0.000108584603361
109	131841696	12BEXKvW87FyVFmsUCUS2boLYEN19oWQCz	BTC-e.com	0.000107100187229
110	75327337	3KAuEYkuJQw1Ad2GzWjfC7V5XoL2fCqjGN	null	0.000105530178614
111	81584121	19FptcoKUngxam9TWMNU5ELxq1tRgwrTbw	BTC-e.com	0.000105085910923
112	79091586	3ExP6jj9aphKGCSEoc3PTyPj311yfSXTi8	null	0.00010479908988
113	48039546	1AeFq5RbXiY1vsRqZjcF7fVodCxXwmDcMX	BTC-e.com	0.000104603012405
114	13951750	1ACKcumkx4M3aQisMMLq32EubPkUNiUfTC	null	0.000104252762832
115	28372221	1Ne5bGjDdgmbsGdNK9ocwrQiWf8K1FTuSa	null	0.00010420508916
116	233057464	3Mfiqcgbvs8PNXf47Zd9AUdw9GAayULet1	null	0.000102897915318
117	92713677	1SWP6D1efxM4fMkZjGZketuncYiRwkg2V	null	0.00010176231393
118	99810968	1F7w3bZsDeEh3X64kkWoYkhdXkJDZKKdtv	null	0.000101395388485
119	20922273	174psvzt77NgEC373xSZWm9gYXqz4sTJjn	null	0.00010131858528
120	81833046	3KAFwjhajCa8yD3j2PS5eJZ93cbXP2wTfM	null	0.000101043895754
121	265457016	326DgM2u3F34ZLcUUFes4TeXdiaVCNus5h	Bitstamp.net	0.000100819888661
122	5029468	1dicec9k7KpmQaA8Uc8aCCxfWnwEWzpXE	SatoshiDice	0.00010065448719
123	70248392	3KDgKr3qov4Ws5WPnaA2RHjcE1N2UeVYs3	null	0.000100634850226
124	94419740	36fFx8qprBuJhWVzA1k2x13RDwrdQVvnQN	null	0.000100368702658
125	27735204	1HC3dc4DubRat1P39YBBkwVRbph3ijbtPQ	null	0.000099297969493
126	188060849	1EhRoLUnoQU3HR5CULpvoUimuu2xzVPr54	null	0.000097388196582
127	132979353	15PmzvZR1GviyBUnrZqU73nEXs2bebngEM	Matbea.com	0.00009693393044
128	79996355	18D4G4mByUWhQTYc53uGca1jGmEikaYZHe	null	0.00009686839593
129	65090413	1K8jWKBgWU2L1zvBbTn4G3vMyJx8Ra1J6G	null	0.000096632762989
130	64648627	1HgGpGwQwizD6A47v3XLqds6jXJ9QoNBH1	BTC-e.com	0.000096559795822
131	142808660	1XFR7EoXzTdNtKMHMSD8Dph2LXRJDbb4n	null	0.000095708125338
132	110508639	18cVXEkRyWU8Z4VT7TvzgWZhqKJLdC2w3M	null	0.000094482972023
133	174933835	1SURbDMJTCREQxoTbqi4i6sfnHbo6az1R	null	0.000092615346499
134	116700833	1NkX6aMe8VWEqNyH7UrHGvuRvcV5WLJc7S	null	0.000092120182922
135	144737501	3F9FJZPFKBzrJmR35TbfFgdFVLYGi9iBuP	Bitstamp.net	0.000090529575004
136	142828592	1XFR8HnEdgZ9w9emtEXLihxYsiTbUHcdz	null	0.000090522688272
137	70248390	3Ce7jUQn2RH5Ysdb4VvShoYymZLpkcqaAA	null	0.000090131626884
138	105632219	18rdKmjrg1EawxgiVT3ikLExj6GWS2MNCk	null	0.00009004645572
139	117569252	13WJmUUGoYHrc7GU1AGSJy541HucmmBAjM	null	0.00008872081825
140	43113750	1BKdYo8kdFxwYbDVDrF7RJCKUTr9LiQytu	BTC-e.com	0.000088206541571
141	99914083	1PBvTJ4LoVntXTEkmJHsMq7LFYV2uRtRj9	null	0.000087199408439
142	5028570	1dicegEArYHgbwQZhvr5G9Ah2s7SFuW1y	SatoshiDice	0.000085695062344
143	72164543	1sCHh9zH7g1yx7S4h4qJ9uqxCDLNm7Lke	null	0.000084837405621
144	70571177	1Lnt32vFqwz7WkqS1KXN2xwX2DZ4Nj4j1m	null	0.000084463994232
