rank	node_id	label	pagerank
90	89109677	null	0.000346129100577
91	62963991	null	0.000345967493387
92	20600709	null	0.000338613195746
93	46807273	null	0.000335972276991
94	47270937	null	0.00033537524783
95	592892	null	0.000334024325877
96	11467543	null	0.000332582259071
97	52163957	null	0.000328007396205
98	58840318	null	0.00032707361397
99	62895702	null	0.000326347674567
100	28676143	null	0.0003211738438
101	23765935	AbraxasMarket	0.000320168104479
102	18271779	Cryptsy.com	0.000317099130291
103	42488907	null	0.000313844920908
104	52438521	null	0.000310436661401
105	19979224	null	0.000308321380456
106	10535119	null	0.000297129732684
107	15449980	BX.in.th	0.00029410823335
108	19386686	FortuneJack.com	0.000278349675167
109	24516938	null	0.000272597279214
110	16445712	null	0.000271661000287
111	27862479	null	0.000270881667941
112	32432045	null	0.000265647405978
113	43048904	null	0.000263121186417
114	47273356	null	0.000260674944625
115	43556286	null	0.000259565966905
116	35429985	null	0.000259107584203
117	26409292	HitBtc.com	0.000255435866281
118	23787170	null	0.00025356049799
119	38780458	null	0.00025343614217
120	14866475	BitBay.net	0.00024847502877
121	26634971	null	0.000247510088558
122	12877787	MintPal.com	0.000244048115025
123	1606088	SealsWithClubs.eu	0.000239110677552
124	75147617	null	0.000237261182275
125	34853750	null	0.000235810296959
126	113441433	null	0.000234997893528
127	2481794	BitZino.com	0.000234255809134
128	31451949	null	0.000233288971991
129	59686948	null	0.000232130177863
130	30069639	null	0.000232057408882
131	16484193	Matbea.com	0.000231551979
132	29893951	null	0.000230026350222
133	31393776	null	0.000229782803756
134	6409486	null	0.000228692699483
135	53234531	null	0.000220879689322
136	41069274	null	0.000220731744787
137	21539181	HaoBTC.com	0.000217215146663
138	56705674	null	0.000215785286974
139	58781935	null	0.00021518261985
140	7154946	CoinJar.com	0.000211297539091
141	34307188	null	0.000210772007535
142	29682797	null	0.000207730571713
143	70566694	null	0.00020658060289
144	18103338	Hashnest.com	0.000205547790262
145	16365047	MaiCoin.com	0.000203697868485
146	18287832	null	0.000202209184946
147	18818206	Bter.com	0.000200647458332
148	1342559	null	0.000200308964791
149	15223609	null	0.000199972194642
150	2931095	null	0.000199765032136
151	17702294	PocketDice.io	0.000197151296125
152	75054403	null	0.000197015322406
153	26712546	null	0.000196876498731
154	53566924	null	0.000190904003698
155	44472154	null	0.000186160418526
156	8884400	null	0.00018513532045
157	53666395	null	0.000184481156988
158	63761445	null	0.00018284370749
159	31708827	null	0.000180236855361
160	22756398	null	0.000179360521797
161	30928926	null	0.000178073079596
162	19939904	null	0.000174127630102
163	17699141	null	0.000173307997348
164	90535952	null	0.000172715608286
165	20014487	Rollin.io	0.000171111567405
166	52042231	null	0.000168778684992
167	20742505	null	0.000166219067958
168	1048469	MercadoBitcoin.com.br	0.000165102474178
169	17415988	null	0.000164315281178
170	38467525	null	0.000160354260943
171	52294284	null	0.000158400979928
172	49173589	null	0.000158362627833
173	13770439	null	0.000157948717092
174	26942021	null	0.000157173275049
175	23238060	Cryptonator.com	0.000157092309399
176	21554661	OkLink.com	0.000156583388995
