rank	node_id	label	out_degree
374	17234220	MiddleEarthMarketplace	10195
375	6434950	null	10174
376	47840301	null	10119
377	41110096	null	10091
378	13182505	null	10064
379	93535070	null	10047
380	6434825	null	10041
381	66725954	null	10038
382	65047583	null	9979
383	51962574	null	9973
384	13551493	null	9965
385	65875009	null	9916
386	22005128	null	9911
387	80648079	null	9879
388	11942856	CoinSpot.com.au	9848
389	6434974	null	9836
390	41993654	null	9835
391	87981540	null	9799
392	108909057	null	9799
393	6264119	null	9795
394	31393776	null	9750
395	7520592	null	9727
396	51594164	null	9680
397	40360022	null	9656
398	45197835	null	9628
399	24516938	null	9615
400	5725760	Luno.com	9600
401	11332083	Coin.mx	9599
402	73448469	null	9543
403	20560435	null	9526
404	65256777	null	9516
405	65255908	null	9491
406	40877383	null	9480
407	3333671	HappyCoins.com	9477
408	104912529	null	9423
409	13770439	null	9390
410	59220397	null	9315
411	56586055	null	9207
412	39070459	null	9187
413	34512429	null	9176
414	65256782	null	9155
415	82192447	null	9120
416	20272553	null	9098
417	26658657	null	9095
418	6434971	null	9083
419	24091745	null	9082
420	95473330	null	9061
421	1847565	null	9049
422	114042346	null	9040
423	61898538	null	9021
424	51779745	null	9016
425	10525915	null	9014
426	6513998	Coinroll.com	8987
427	5041683	SheepMarketplace	8982
428	67705299	null	8922
429	2114273	null	8888
430	85788997	null	8830
431	21661315	SafeDice.com	8828
432	23688113	null	8819
433	109381195	null	8802
434	27207488	null	8761
435	15048973	null	8725
436	32355	null	8709
437	17699141	null	8685
438	52699234	null	8660
439	13985805	null	8633
440	41787095	null	8579
441	8923618	null	8571
442	22842238	null	8570
443	79250430	null	8555
444	6090174	Cryptorush.in	8534
445	3341993	null	8506
446	49173589	null	8486
447	9606830	PandoraOpenMarket	8442
448	11347536	null	8431
449	73129304	null	8417
450	7502143	Inputs.io	8410
451	27650605	null	8400
452	60132127	null	8334
453	26028607	null	8316
454	29352131	null	8315
455	66703673	null	8315
456	92194550	null	8297
457	70202029	null	8286
458	5893350	null	8266
459	39849106	null	8260
460	53959925	null	8252
461	43135117	null	8241
462	13064777	null	8208
463	66630716	null	8143
464	63979375	null	8138
465	13512672	null	8083
466	51992950	null	8044
467	55871768	null	8037
468	68221879	null	7985
469	121921690	null	7976
470	42935188	null	7949
471	86600281	null	7944
472	20609804	null	7927
473	15322094	null	7925
474	2221081	null	7904
475	32957843	null	7899
476	39709541	null	7890
477	1410892	null	7849
478	16375132	null	7845
479	21386842	null	7781
480	116454231	null	7755
481	58972260	null	7751
482	66703675	null	7739
483	90168212	null	7709
484	22212352	null	7691
485	39609721	null	7680
